"ASSET ID","ALT ASSET ID","PRODUCT NAME","ASSET ALIAS","INSTALLATION","SUPPORTED BY","PRODUCT TYPE","INSTALLED CODE","LOCATION NAME","INSTANCE ID","SOLUTION ID","LOCATION ID","INSTALL BASE AGE","CONNECTIVITY STATUS","LAST ALERT & TELEMETRY DELIVERY","CONNECTION TYPE","CONNECTION AGE","SERVICES STATUS","CONTRACT TYPE","CONTRACT END DATE","SALES ORDER#","END OF STANDARD SUPPORT","CITY","COUNTRY"
"24333212",,"Data Protection Search",,"Installed","Dell Technologies","SOFTWARE",,"CRDB BANK PLC","",,"27601739189394","5yr, 8mo, 21d","Not Eligible",,"",,"Active","ProSupport For Software","February 01, 2026","310905167",,"DAR ES SALAAM","Tanzania, United Republic of"
"24333214",,"RecoverPoint for Virtual Machines",,"Installed","Dell Technologies","SOFTWARE",,"CRDB BANK PLC","",,"27601739189394","5yr, 8mo, 21d","Not Eligible",,"",,"Active","ProSupport For Software","February 01, 2026","310905167",,"DAR ES SALAAM","Tanzania, United Republic of"
"24333216",,"RecoverPoint for Virtual Machines",,"Installed","Dell Technologies","SOFTWARE",,"CRDB BANK PLC","",,"27601739189394","5yr, 8mo, 21d","Not Eligible",,"",,"Active","ProSupport For Software","February 01, 2026","310905167",,"DAR ES SALAAM","Tanzania, United Republic of"
"24333218",,"RecoverPoint for Virtual Machines",,"Installed","Dell Technologies","SOFTWARE",,"CRDB BANK PLC","",,"27601739189394","5yr, 8mo, 21d","Not Eligible",,"",,"Active","ProSupport For Software","February 01, 2026","310905167",,"DAR ES SALAAM","Tanzania, United Republic of"
"24333220",,"RecoverPoint for Virtual Machines",,"Installed","Dell Technologies","SOFTWARE",,"CRDB BANK PLC","",,"27601739189394","5yr, 8mo, 21d","Not Eligible",,"",,"Active","ProSupport For Software","February 01, 2026","310905167",,"DAR ES SALAAM","Tanzania, United Republic of"
"24333222",,"RecoverPoint for Virtual Machines",,"Installed","Dell Technologies","SOFTWARE",,"CRDB BANK PLC","",,"27601739189394","5yr, 8mo, 21d","Not Eligible",,"",,"Active","ProSupport For Software","February 01, 2026","310905167",,"DAR ES SALAAM","Tanzania, United Republic of"
"24333224",,"RecoverPoint for Virtual Machines",,"Installed","Dell Technologies","SOFTWARE",,"CRDB BANK PLC","",,"27601739189394","5yr, 8mo, 21d","Not Eligible",,"",,"Active","ProSupport For Software","February 01, 2026","310905167",,"DAR ES SALAAM","Tanzania, United Republic of"
"24333226",,"RecoverPoint for Virtual Machines",,"Installed","Dell Technologies","SOFTWARE",,"CRDB BANK PLC","",,"27601739189394","5yr, 8mo, 21d","Not Eligible",,"",,"Active","ProSupport For Software","February 01, 2026","310905167",,"DAR ES SALAAM","Tanzania, United Republic of"
"24333228",,"Data Protection Advisor",,"Installed","Dell Technologies","SOFTWARE",,"CRDB BANK PLC","",,"27601739189394","5yr, 8mo, 21d","Not Eligible",,"",,"Active","ProSupport For Software","February 01, 2026","310905167",,"DAR ES SALAAM","Tanzania, United Republic of"
"24333230",,"Data Protection Central",,"Installed","Dell Technologies","SOFTWARE",,"CRDB BANK PLC","",,"27601739189394","5yr, 8mo, 21d","Not Eligible",,"",,"Active","ProSupport For Software","February 01, 2026","310905167",,"DAR ES SALAAM","Tanzania, United Republic of"
"24333232",,"Avamar Virtual Edition",,"Installed","Dell Technologies","SOFTWARE",,"CRDB BANK PLC","",,"27601739189394","5yr, 8mo, 21d","Not Eligible",,"",,"Active","ProSupport For Software","February 01, 2026","310905167",,"DAR ES SALAAM","Tanzania, United Republic of"
"24333234",,"Avamar Virtual Edition",,"Installed","Dell Technologies","SOFTWARE",,"CRDB BANK PLC","",,"27601739189394","5yr, 8mo, 21d","Not Eligible",,"",,"Active","ProSupport For Software","February 01, 2026","310905167",,"DAR ES SALAAM","Tanzania, United Republic of"
"DE600200613759","9WB1033","VxRail E560F",,"Installed","Dell Technologies","HARDWARE",,"CRDB BANK PLC","",,"27601739189394","5yr, 7mo, 7d","Connected","2025-10-21 03:42:45","Secure Connect Gateway - Virtual Appliance v5","< 1d","Active","ProSupport","February 01, 2026","273343400","September 30, 2027","DAR ES SALAAM","Tanzania, United Republic of"
"DE600200613760","BWB1033","VxRail E560F",,"Installed","Dell Technologies","HARDWARE",,"CRDB BANK PLC","",,"27601739189394","5yr, 7mo, 7d","Connected","2025-10-21 03:42:45","Secure Connect Gateway - Virtual Appliance v5","< 1d","Active","ProSupport","February 01, 2026","273343400","September 30, 2027","DAR ES SALAAM","Tanzania, United Republic of"
"DE600200613761","CWB1033","VxRail E560F",,"Installed","Dell Technologies","HARDWARE",,"CRDB BANK PLC","",,"27601739189394","5yr, 7mo, 7d","Connected","2025-10-21 03:42:45","Secure Connect Gateway - Virtual Appliance v5","< 1d","Active","ProSupport","February 01, 2026","273343400","September 30, 2027","DAR ES SALAAM","Tanzania, United Republic of"
"DE600200613765","5WB1033","VxRail E560F",,"Installed","Dell Technologies","HARDWARE",,"CRDB BANK PLC","",,"27601739189394","5yr, 7mo, 7d","Connected","2025-10-21 03:42:45","Secure Connect Gateway - Appliance v5","< 1d","Active","ProSupport","February 01, 2026","273343404","September 30, 2027","DAR ES SALAAM","Tanzania, United Republic of"
"DE600200613766","4WB1033","VxRail E560F",,"Installed","Dell Technologies","HARDWARE","7.0.320-27377804","CRDB BANK PLC","",,"27601739189394","5yr, 7mo, 7d","Not Connected","2023-03-07 06:13:26","OTHER","2yr, 7mo, 14d","Active","ProSupport","February 01, 2026","273343404","September 30, 2027","DAR ES SALAAM","Tanzania, United Republic of"
"DE600200613768","7WB1033","VxRail E560F",,"Installed","Dell Technologies","HARDWARE","7.0.320-27377804","CRDB BANK PLC","",,"27601739189394","5yr, 7mo, 7d","Not Connected","2023-03-07 06:13:26","Secure Connect Gateway - Virtual Appliance v3","2yr, 7mo, 14d","Active","ProSupport","February 01, 2026","273343404","September 30, 2027","DAR ES SALAAM","Tanzania, United Republic of"
"DE600200613772","8WB1033","VxRail E560F",,"Installed","Dell Technologies","HARDWARE","7.0.320-27377804","CRDB BANK PLC","",,"27601739189394","5yr, 7mo, 7d","Not Connected","2023-03-07 06:13:26","Secure Connect Gateway - Virtual Appliance v3","2yr, 7mo, 14d","Active","ProSupport","February 01, 2026","273343400","September 30, 2027","DAR ES SALAAM","Tanzania, United Republic of"
"DE600200613776","6WB1033","VxRail E560F",,"Installed","Dell Technologies","HARDWARE","7.0.320-27377804","CRDB BANK PLC","",,"27601739189394","5yr, 7mo, 7d","Not Connected","2023-03-07 06:13:26","Secure Connect Gateway - Appliance v5","2yr, 7mo, 14d","Active","ProSupport","February 01, 2026","273343404","September 30, 2027","DAR ES SALAAM","Tanzania, United Republic of"
"ELMAPL082221XB",,"Secure Connect Gateway - Virtual Edition",,"Installed","Dell Technologies","SOFTWARE",,"CRDB BANK PLC","",,"27601739189394","3yr, 1mo, 28d","Not Connected","2025-04-16 08:21:50","OTHER","6mo, 5d","Active","ProSupport For Software","January 01, 2031","Not Available",,"DAR ES SALAAM","Tanzania, United Republic of"
"ELMAVM0620V7D5",,"Avamar Server",,"Installed","Dell Technologies","SOFTWARE",,"CRDB BANK PLC","",,"27601739189394","5yr, 3mo, 26d","Not Eligible",,"",,"Active","ProSupport For Software","February 01, 2026","310905167",,"DAR ES SALAAM","Tanzania, United Republic of"
"ELMDPA032289VP",,"Data Protection Advisor",,"Installed","Dell Technologies","SOFTWARE",,"CRDB BANK PLC","",,"27601739189394","3yr, 6mo, 21d","Not Configured",,"OTHER",,"Active","ProSupport For Software","February 01, 2026","310905167",,"DAR ES SALAAM","Tanzania, United Republic of"
"ELMDPS0322FDSC",,"Data Protection Search",,"Installed","Dell Technologies","SOFTWARE",,"CRDB BANK PLC","",,"27601739189394","3yr, 6mo, 21d","Not Eligible",,"",,"Active","ProSupport For Software","February 01, 2026","310905167",,"DAR ES SALAAM","Tanzania, United Republic of"
"ELMESR09211Q5V",,"Secure Remote Services Virtual Edition",,"Installed","Dell Technologies","SOFTWARE",,"CRDB BANK PLC","",,"27601739189394","4yr, 1mo, 7d","Not Eligible",,"",,"Active","ProSupport For Software","January 01, 2031","Not Available",,"DAR ES SALAAM","Tanzania, United Republic of"
"ELMESR09215T6X",,"Secure Remote Services Virtual Edition",,"Installed","Dell Technologies","SOFTWARE",,"CRDB BANK PLC","",,"27601739189394","4yr, 1mo, 15d","Not Eligible",,"",,"Active","ProSupport For Software","January 01, 2031","Not Available",,"DAR ES SALAAM","Tanzania, United Republic of"
"ELMESR09218DGQ",,"Secure Remote Services Virtual Edition",,"Installed","Dell Technologies","SOFTWARE",,"CRDB BANK PLC","",,"27601739189394","4yr, 1mo, 14d","Not Eligible",,"",,"Active","ProSupport For Software","January 01, 2031","Not Available",,"DAR ES SALAAM","Tanzania, United Republic of"
"ELMESR09218H7R",,"Secure Remote Services Virtual Edition",,"Installed","Dell Technologies","SOFTWARE",,"CRDB BANK PLC","",,"27601739189394","4yr, 1mo","Not Eligible",,"",,"Active","ProSupport For Software","January 01, 2031","Not Available",,"DAR ES SALAAM","Tanzania, United Republic of"
"1BJJN44",,"VxRail E660F",,"Not Installed","Dell Technologies","HARDWARE",,"CRDB BANK PLC","",,"3572412594","1yr, 2mo, 15d","Not Eligible",,"",,,,,"1008156514","June 30, 2030","DAR ES SALAAM","Tanzania, United Republic of"
"243VC64",,"PowerEdge R760",,"Not Installed","Dell Technologies","HARDWARE",,"CRDB BANK PLC","",,"3572412594","11mo, 22d","Not Configured",,"OTHER",,"Active","ProSupport","February 18, 2028","1011380955",,"DAR ES SALAAM","TZ"
"24HLQ34","24HLQ34","DD6400 Appliance",,"Installed","Dell Technologies","HARDWARE",,"CRDB BANK PLC","",,"3572412594","4mo, 29d","Not Eligible",,"",,"Active","ProSupport","November 29, 2027","1011380949","June 30, 2030","DAR ES SALAAM","Tanzania, United Republic of"
"261MJ13",,"PowerEdge R740",,"Not Installed","Dell Technologies","HARDWARE",,"CRDB BANK PLC","",,"3572412594","5yr, 10mo, 3d","Not Configured",,"OTHER",,"Active","ProSupport","January 31, 2026","273301810",,"DAR ES SALAAM","TZ"
"263VC64",,"PowerEdge R760",,"Not Installed","Dell Technologies","HARDWARE",,"CRDB BANK PLC","",,"3572412594","11mo, 22d","Not Configured",,"OTHER",,"Active","ProSupport","February 18, 2028","1011380956",,"DAR ES SALAAM","TZ"
"26519456",,"CloudBoost Virtual Appliance",,"Installed","Dell Technologies","SOFTWARE",,"CRDB BANK PLC","",,"3572412594","4yr, 7mo, 17d","Not Eligible",,"",,,"Unavailable",,"99999",,"DAR ES SALAAM","Tanzania, United Republic of"
"26519457",,"Data Protection Central",,"Installed","Dell Technologies","SOFTWARE",,"CRDB BANK PLC","",,"3572412594","4yr, 7mo, 17d","Not Eligible",,"",,"Ended","ProSupport For Software","February 06, 2024","99999",,"DAR ES SALAAM","Tanzania, United Republic of"
"26519458",,"Data Protection Advisor",,"Installed","Dell Technologies","SOFTWARE",,"CRDB BANK PLC","",,"3572412594","4yr, 7mo, 17d","Not Eligible",,"",,"Ended","ProSupport For Software","February 06, 2024","99999",,"DAR ES SALAAM","Tanzania, United Republic of"
"26519459",,"Avamar Virtual Edition",,"Installed","Dell Technologies","SOFTWARE",,"CRDB BANK PLC","",,"3572412594","4yr, 7mo, 17d","Not Eligible",,"",,"Ended","ProSupport For Software","February 06, 2024","99999",,"DAR ES SALAAM","Tanzania, United Republic of"
"26519460",,"Avamar Virtual Edition",,"Installed","Dell Technologies","SOFTWARE",,"CRDB BANK PLC","",,"3572412594","4yr, 7mo, 17d","Not Eligible",,"",,"Ended","ProSupport For Software","February 06, 2024","99999",,"DAR ES SALAAM","Tanzania, United Republic of"
"26519461",,"Data Protection Advisor",,"Installed","Dell Technologies","SOFTWARE",,"CRDB BANK PLC","",,"3572412594","4yr, 7mo, 17d","Not Eligible",,"",,"Ended","ProSupport For Software","February 06, 2024","99999",,"DAR ES SALAAM","Tanzania, United Republic of"
"26519462",,"RecoverPoint for Virtual Machines",,"Installed","Dell Technologies","SOFTWARE",,"CRDB BANK PLC","",,"3572412594","4yr, 7mo, 17d","Not Eligible",,"",,"Ended","ProSupport For Software","February 06, 2024","99999",,"DAR ES SALAAM","Tanzania, United Republic of"
"26519463",,"Data Protection Search",,"Installed","Dell Technologies","SOFTWARE",,"CRDB BANK PLC","",,"3572412594","4yr, 7mo, 17d","Not Eligible",,"",,"Ended","ProSupport For Software","February 06, 2024","99999",,"DAR ES SALAAM","Tanzania, United Republic of"
"26519465",,"NetWorker",,"Installed","Dell Technologies","SOFTWARE",,"CRDB BANK PLC","",,"3572412594","4yr, 7mo, 17d","Not Eligible",,"",,"Ended","ProSupport For Software","February 06, 2024","99999",,"DAR ES SALAAM","Tanzania, United Republic of"
"26519466",,"vRealize Data Protection Extension for Avamar",,"Installed","Dell Technologies","SOFTWARE",,"CRDB BANK PLC","",,"3572412594","4yr, 7mo, 17d","Not Eligible",,"",,"Ended","ProSupport For Software","February 06, 2024","99999",,"DAR ES SALAAM","Tanzania, United Republic of"
"34HLQ34","34HLQ34","DD6400 Appliance",,"Installed","Dell Technologies","HARDWARE",,"CRDB BANK PLC","",,"3572412594","4mo, 29d","Not Eligible",,"",,"Active","ProSupport","November 29, 2027","1011380949","June 30, 2030","DAR ES SALAAM","Tanzania, United Republic of"
"38PB1K3",,"AppSync",,"Installed","Dell Technologies","SOFTWARE",,"CRDB BANK PLC","",,"3572412594","3yr, 11mo, 24d","Not Eligible",,"",,"Active","ProSupport For Software","January 31, 2026","273711545",,"DAR ES SALAAM","TZ"
"38Q91K3",,"AppSync",,"Installed","Dell Technologies","SOFTWARE",,"CRDB BANK PLC","",,"3572412594","3yr, 11mo, 24d","Not Eligible",,"",,"Active","ProSupport For Software","January 31, 2026","273711545",,"DAR ES SALAAM","TZ"
"3T15KF3","3T15KF3","Dell EMC Unity XT 480",,"Installed","Dell Technologies","HARDWARE",,"CRDB BANK PLC","",,"3572412594","3yr, 10mo, 28d","Not Eligible",,"",,"Active","ProSupport","January 31, 2026","273711544",,"DAR ES SALAAM","Tanzania, United Republic of"
"3T43KF3","3T43KF3","Dell EMC Unity XT 480",,"Installed","Dell Technologies","HARDWARE",,"CRDB BANK PLC","",,"3572412594","3yr, 10mo, 28d","Not Eligible",,"",,"Active","ProSupport","January 31, 2026","273711544",,"DAR ES SALAAM","Tanzania, United Republic of"
"3TQ2KF3","3TQ2KF3","Dell EMC Unity XT 480",,"Installed","Dell Technologies","HARDWARE",,"CRDB BANK PLC","",,"3572412594","3yr, 10mo, 28d","Not Eligible",,"",,"Active","ProSupport","January 31, 2026","273711544",,"DAR ES SALAAM","Tanzania, United Republic of"
"3V63KF3","3V63KF3","Dell EMC Unity XT 480",,"Installed","Dell Technologies","HARDWARE",,"CRDB BANK PLC","",,"3572412594","3yr, 10mo, 28d","Not Eligible",,"",,"Active","ProSupport","January 31, 2026","273711544",,"DAR ES SALAAM","Tanzania, United Republic of"
"423VC64",,"PowerEdge R760",,"Not Installed","Dell Technologies","HARDWARE",,"CRDB BANK PLC","",,"3572412594","11mo, 22d","Not Configured",,"OTHER",,"Active","ProSupport","February 18, 2028","1011380955",,"DAR ES SALAAM","TZ"
"44JJN44",,"VxRail E660F",,"Not Installed","Dell Technologies","HARDWARE",,"CRDB BANK PLC","",,"3572412594","1yr, 2mo, 15d","Not Eligible",,"",,,,,"1008156510","June 30, 2030","DAR ES SALAAM","Tanzania, United Republic of"
"47JJN44",,"VxRail E660F",,"Not Installed","Dell Technologies","HARDWARE",,"CRDB BANK PLC","",,"3572412594","1yr, 2mo, 15d","Not Eligible",,"",,,,,"1008156511","June 30, 2030","DAR ES SALAAM","Tanzania, United Republic of"
"73Y9BV3",,"Dell EMC Networking N3200-ON",,"Not Installed","Dell Technologies","HARDWARE",,"CRDB BANK PLC","",,"3572412594","11mo, 23d","Not Configured",,"OTHER",,"Active","ProSupport","February 18, 2028","1011380952",,"DAR ES SALAAM","TZ"
"79JJN44",,"VxRail E660F",,"Not Installed","Dell Technologies","HARDWARE",,"CRDB BANK PLC","",,"3572412594","1yr, 2mo, 15d","Not Eligible",,"",,,,,"1008156513","June 30, 2030","DAR ES SALAAM","Tanzania, United Republic of"
"7X6RX54",,"PowerProtect Cyber Recovery",,"Installed","Dell Technologies","SOFTWARE",,"CRDB BANK PLC","",,"3572412594","4mo, 3d","Not Eligible",,"",,"Ended",,,"1011380950",,"DAR ES SALAAM","TZ"
"9FJJN44",,"VxRail E660F",,"Not Installed","Dell Technologies","HARDWARE",,"CRDB BANK PLC","",,"3572412594","1yr, 2mo, 15d","Not Eligible",,"",,,,,"1008156515","June 30, 2030","DAR ES SALAAM","Tanzania, United Republic of"
"B1CQR74","B1CQR74","Dell EMC Unity XT 480",,"Installed","Dell Technologies","HARDWARE",,"CRDB BANK PLC","",,"3572412594","4mo, 26d","Not Eligible",,"",,"Active","ProSupport","July 29, 2026","1018649286",,"DAR ES SALAAM","TZ"
"C5JJN44",,"VxRail E660F",,"Not Installed","Dell Technologies","HARDWARE",,"CRDB BANK PLC","",,"3572412594","1yr, 2mo, 15d","Not Eligible",,"",,,,,"1008156509","June 30, 2030","DAR ES SALAAM","Tanzania, United Republic of"
"CC4CT64","CC4CT64","DD6400 Appliance",,"Installed","Dell Technologies","HARDWARE",,"CRDB BANK PLC","",,"3572412594","4mo, 29d","Not Eligible",,"",,"Active","ProSupport","November 29, 2027","1011380949","June 30, 2030","DAR ES SALAAM","Tanzania, United Republic of"
"CKM01214405040","3VP2KF3","Dell EMC Unity XT 480",,"Installed","Dell Technologies","HARDWARE",,"CRDB BANK PLC","",,"3572412594","3yr, 10mo, 28d","Connected","2025-10-21 03:33:12","Secure Connect Gateway - Appliance v5","< 1d","Active","ProSupport","January 31, 2026","273711544",,"DAR ES SALAAM","Tanzania, United Republic of"
"CKM01214405041","3V44KF3","Dell EMC Unity XT 480",,"Installed","Dell Technologies","HARDWARE",,"CRDB BANK PLC","",,"3572412594","3yr, 10mo, 28d","Connected","2025-10-20 03:04:38","Secure Connect Gateway - Appliance v5","1d","Active","ProSupport","January 31, 2026","273711544",,"DAR ES SALAAM","Tanzania, United Republic of"
"CRK00240116553","CRK00240116553","DD6400 Appliance",,"Installed","Dell Technologies","HARDWARE",,"CRDB BANK PLC","",,"3572412594","1yr, 7mo, 2d","Connected","2025-10-20 06:39:43","Secure Connect Gateway - Appliance v5","1d","Active","ProSupport Plus","March 07, 2027","1000901883","June 30, 2030","DAR ES SALAAM","Tanzania, United Republic of"
"CRK00240121776",,"DD6400 Appliance",,"Installed","Dell Technologies","HARDWARE","7.7.4.0","CRDB BANK PLC","",,"3572412594","1yr, 8mo, 13d","Not Connected","2025-04-16 07:04:27","Secure Connect Gateway - Appliance v5","6mo, 5d","Active","ProSupport Plus","March 07, 2027","99999","June 30, 2030","DAR ES SALAAM","Tanzania, United Republic of"
"CRK00244316223","CRK00244316223","DD6400 Appliance",,"Installed","Dell Technologies","HARDWARE","7.0.0.5","CRDB BANK PLC","",,"3572412594","8mo, 27d","Not Configured",,"OTHER",,"Active","ProSupport","November 29, 2027","1011380949","June 30, 2030","DAR ES SALAAM","Tanzania, United Republic of"
"DE00000307238338",,"RecoverPoint for Virtual Machines",,"Installed","Dell Technologies","SOFTWARE",,"CRDB BANK PLC","",,"3572412594","4yr, 8mo, 13d","Not Eligible",,"",,"Active","ProSupport For Software","January 31, 2026","273534930",,"DAR ES SALAAM","Tanzania, United Republic of"
"DE00000307238339",,"RecoverPoint for Virtual Machines",,"Installed","Dell Technologies","SOFTWARE",,"CRDB BANK PLC","",,"3572412594","4yr, 8mo, 13d","Not Eligible",,"",,"Active","ProSupport For Software","January 31, 2026","273534930",,"DAR ES SALAAM","Tanzania, United Republic of"
"DE00000307238340",,"RecoverPoint for Virtual Machines",,"Installed","Dell Technologies","SOFTWARE",,"CRDB BANK PLC","",,"3572412594","4yr, 8mo, 13d","Not Eligible",,"",,"Active","ProSupport For Software","January 31, 2026","273534930",,"DAR ES SALAAM","Tanzania, United Republic of"
"DE00000307238341",,"RecoverPoint for Virtual Machines",,"Installed","Dell Technologies","SOFTWARE",,"CRDB BANK PLC","",,"3572412594","4yr, 8mo, 13d","Not Eligible",,"",,"Active","ProSupport For Software","January 31, 2026","273534930",,"DAR ES SALAAM","Tanzania, United Republic of"
"DE00000307238343",,"RecoverPoint for Virtual Machines",,"Installed","Dell Technologies","SOFTWARE",,"CRDB BANK PLC","",,"3572412594","4yr, 8mo, 13d","Not Eligible",,"",,"Active","ProSupport For Software","January 31, 2026","273534930",,"DAR ES SALAAM","Tanzania, United Republic of"
"DE00000307238344",,"RecoverPoint for Virtual Machines",,"Installed","Dell Technologies","SOFTWARE",,"CRDB BANK PLC","",,"3572412594","4yr, 8mo, 13d","Not Eligible",,"",,"Active","ProSupport For Software","January 31, 2026","273534930",,"DAR ES SALAAM","Tanzania, United Republic of"
"DE00000307238345",,"RecoverPoint for Virtual Machines",,"Installed","Dell Technologies","SOFTWARE",,"CRDB BANK PLC","",,"3572412594","4yr, 8mo, 13d","Not Eligible",,"",,"Active","ProSupport For Software","January 31, 2026","273534930",,"DAR ES SALAAM","Tanzania, United Republic of"
"DE00000307238346",,"RecoverPoint for Virtual Machines",,"Installed","Dell Technologies","SOFTWARE",,"CRDB BANK PLC","",,"3572412594","4yr, 8mo, 13d","Not Eligible",,"",,"Active","ProSupport For Software","January 31, 2026","273534930",,"DAR ES SALAAM","Tanzania, United Republic of"
"DE00000319066774",,"RecoverPoint for Virtual Machines",,"Installed","Dell Technologies","SOFTWARE",,"CRDB BANK PLC","",,"3572412594","4yr, 2mo, 19d","Not Eligible",,"",,"Active","ProSupport For Software","January 31, 2026","273649765",,"DAR ES SALAAM","Tanzania, United Republic of"
"DE00000319066775",,"RecoverPoint for Virtual Machines",,"Installed","Dell Technologies","SOFTWARE",,"CRDB BANK PLC","",,"3572412594","4yr, 2mo, 19d","Not Eligible",,"",,"Active","ProSupport For Software","January 31, 2026","273649765",,"DAR ES SALAAM","Tanzania, United Republic of"
"DE00000319066776",,"RecoverPoint for Virtual Machines",,"Installed","Dell Technologies","SOFTWARE",,"CRDB BANK PLC","",,"3572412594","4yr, 2mo, 19d","Not Eligible",,"",,"Active","ProSupport For Software","January 31, 2026","273649765",,"DAR ES SALAAM","Tanzania, United Republic of"
"DE00000319066777",,"RecoverPoint for Virtual Machines",,"Installed","Dell Technologies","SOFTWARE",,"CRDB BANK PLC","",,"3572412594","4yr, 2mo, 19d","Not Eligible",,"",,"Active","ProSupport For Software","January 31, 2026","273649765",,"DAR ES SALAAM","Tanzania, United Republic of"
"DE00000319066778",,"RecoverPoint for Virtual Machines",,"Installed","Dell Technologies","SOFTWARE",,"CRDB BANK PLC","",,"3572412594","4yr, 2mo, 19d","Not Eligible",,"",,"Active","ProSupport For Software","January 31, 2026","273649765",,"DAR ES SALAAM","Tanzania, United Republic of"
"DE00000319066779",,"RecoverPoint for Virtual Machines",,"Installed","Dell Technologies","SOFTWARE",,"CRDB BANK PLC","",,"3572412594","4yr, 2mo, 19d","Not Eligible",,"",,"Active","ProSupport For Software","January 31, 2026","273649765",,"DAR ES SALAAM","Tanzania, United Republic of"
"DE600210534233","2VMZVB3","VxRail P570F",,"Installed","Dell Technologies","HARDWARE",,"CRDB BANK PLC","",,"3572412594","4yr, 28d","Connected","2025-10-21 03:42:45","Secure Connect Gateway - Virtual Appliance v5","< 1d","Active","ProSupport","January 31, 2026","273534930","September 30, 2027","DAR ES SALAAM","Tanzania, United Republic of"
"DE600210534234","3VMZVB3","VxRail P570F",,"Installed","Dell Technologies","HARDWARE",,"CRDB BANK PLC","",,"3572412594","4yr, 28d","Connected","2025-10-21 03:42:45","Secure Connect Gateway - Virtual Appliance v5","< 1d","Active","ProSupport","January 31, 2026","273534930","September 30, 2027","DAR ES SALAAM","Tanzania, United Republic of"
"DE600210534235","4VMZVB3","VxRail P570F",,"Installed","Dell Technologies","HARDWARE",,"CRDB BANK PLC","",,"3572412594","4yr, 28d","Connected","2025-10-21 03:42:45","Secure Connect Gateway - Virtual Appliance v5","< 1d","Active","ProSupport","January 31, 2026","273534930","September 30, 2027","DAR ES SALAAM","Tanzania, United Republic of"
